subject,run,hemi,mode_k,beta,p,metric
sub-EN057,16,L,14,-2.8939211245710714,0.6812272760262639,global
sub-EN057,16,L,15,-0.9690506071969786,0.6806412743463243,global
sub-EN057,16,L,16,-0.1125013195572097,0.2642227445915817,global
sub-EN057,16,L,17,-1.0258685737952649,0.6019584509441371,global
sub-EN057,16,L,18,-0.4253177576327896,0.4397244636070245,global
sub-EN057,16,L,19,-1.195757298867362,0.6869852829705553,global
sub-EN057,16,L,20,-0.4305528323591617,0.6308601040033983,global
sub-EN057,16,L,21,-0.172158076519181,0.7243126864418759,global
sub-EN057,16,L,22,-0.3560953304490694,0.5668261828545524,global
sub-EN057,16,L,23,0.0096937665822368,0.84852739063477,global
sub-EN057,16,L,24,-0.1348160716936105,0.3528396634757827,global
sub-EN057,16,L,25,0.1143173263286294,0.3419947934474501,global
sub-EN057,16,L,26,-0.6970422366128383,0.6355036843785948,global
sub-EN057,16,L,27,-0.0852766733053115,0.5589245124226312,global
sub-EN057,16,L,28,-0.1571192451995194,0.6838435944003324,global
sub-EN057,16,L,29,-0.0361793679458874,0.6682571188240263,global
sub-EN057,16,L,30,-9.439586888500325e-05,0.9988024089729066,global
sub-EN057,16,L,31,-0.015679910571497,0.7929276687882647,global
sub-EN057,16,L,32,-0.389562714427306,0.5689120236362055,global
sub-EN057,16,L,33,-0.9614748948177372,0.6804380367007854,global
sub-EN057,16,L,34,-0.1395177177457297,0.6604559493548621,global
sub-EN057,16,L,35,-0.1547573862817046,0.0016783330899832,global
sub-EN057,16,L,36,-1.0419433753261,0.6406059706159033,global
sub-EN057,16,L,37,0.0078703843419077,0.7774485602717238,global
sub-EN057,16,L,38,-0.3626885559678324,0.6901432883265308,global
sub-EN057,16,L,39,-0.2417664864695257,0.6528674301545976,global
sub-EN057,16,L,40,-0.1053895474913434,0.1251249084358591,global
sub-EN057,16,L,41,-0.9824166111426204,0.679515773941088,global
sub-EN057,16,L,42,0.0142809648141148,0.7206622683222719,global
