mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
67,-0.46131128318399545,0.019775057505677075,49,-23.327936368911235,7.714857256361054e-28,0.0128279495984315,1
68,-1.8112677114361302,0.0716441095718608,49,-25.281460293946203,2.1609791568260822e-29,0.0129549652338027,1
69,-0.04234561495239057,0.006985933482418954,49,-6.061554273163212,2.019195390954338e-07,0.0130439344793558,1
70,-0.9496386011547562,0.033607907275859085,49,-28.256403868291194,1.4417440286722344e-31,0.0131426770240068,1
71,-0.266323664365013,0.017576404512299464,49,-15.152340410613972,6.404040288759089e-20,0.0135406553745269,1
72,-0.1286329511373086,0.011487926959621813,49,-11.197229194565079,5.4968623518792666e-15,0.0137549825012683,1
73,-0.10519295314144966,0.010433445339580188,49,-10.082283437321609,1.9355586157998823e-13,0.0138666797429323,1
74,-1.0182401213502348,0.04762912955257944,49,-21.37851627597276,3.546394056814991e-26,0.0139644090086221,1
75,-0.15538277600117284,0.010952779818218643,49,-14.186606375735968,8.582081352291827e-19,0.0142714828252792,1
76,-0.5938165662485843,0.021330610578098885,49,-27.838704573149112,2.8303931434172375e-31,0.0145824085921049,1
77,-0.6631157949028575,0.02485259035303113,49,-26.681958921919023,1.9226832203625387e-30,0.0147327147424221,1
78,-2.6986269939003207,0.06126699762874117,49,-44.04699264444385,1.7833038125623643e-40,0.0147609356790781,1
79,-0.14436413423649025,0.013031254076617605,49,-11.07829940140047,7.976893287373876e-15,0.0149750523269176,1
80,-0.09744698731480463,0.008722433648281385,49,-11.17199525318315,5.947872145259332e-15,0.0150899533182382,1
81,-0.33542999506392535,0.021636055348169547,49,-15.50328789911805,2.561637455412487e-20,0.0154220629483461,1
82,-0.3589351523475472,0.01892195019017291,49,-18.969247289000883,6.071930257092929e-24,0.0154968649148941,1
83,-0.5021668491099709,0.026425310193547397,49,-19.003252769104346,5.627172440336992e-24,0.0157812219113111,1
84,-0.6688882981825802,0.026824068904050338,49,-24.936123619991914,3.994690595826335e-29,0.0159307047724723,1
85,-0.030814617044263477,0.006114770496463548,49,-5.039374259767392,7.048946471450996e-06,0.0159959252923727,1
86,-0.5071278416863327,0.020064108367567467,49,-25.275373936181342,2.1843693305045743e-29,0.0163249354809522,1
87,-0.12320197613883231,0.012398808189768363,49,-9.93659828051054,3.1179560164157545e-13,0.0165493730455636,1
88,-0.6977908263711338,0.021104164632182572,49,-33.064129214906,1.098450737878531e-34,0.0166782364249229,1
89,-0.16372693875420644,0.017436129796548936,49,-9.390096349627559,1.9070373297542694e-12,0.0169897153973579,1
90,-0.2346428668210064,0.016973311049349026,49,-13.824224757255339,2.3390430707465134e-18,0.0170869976282119,1
91,-0.14079524916449218,0.017044766533330973,49,-8.260321365456527,8.926867403163749e-11,0.0171879101544618,1
92,-0.25379447941974126,0.01801724012536052,49,-14.086201751982417,1.1312181135371797e-18,0.0173780377954244,1
93,-1.122783538228897,0.04479521187819376,49,-25.064811419621087,3.1745308715268305e-29,0.0176062751561403,1
94,-0.2000086792455393,0.013178799048219373,49,-15.176548220648609,6.009091801264366e-20,0.017727717757225,1
95,-0.043136947254174975,0.006187904432346402,49,-6.971172183701261,8.140728233451559e-09,0.0180606748908758,1
96,-0.7774877243109558,0.032585108709307406,49,-23.860215758276084,2.8419567137134034e-28,0.0183309633284807,1
97,-0.27166572622997687,0.015701789924162116,49,-17.301576924802323,2.8940596246729754e-22,0.0185584239661693,1
98,-0.39829769995970016,0.026265219222585616,49,-15.16445366719809,6.203218963367214e-20,0.0187302939593791,1
99,-0.11504627709003797,0.009265185128907144,49,-12.417051088498651,1.3401609322568998e-16,0.0188728664070367,1
