subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,15,R,82,-0.4155067446950054,0.0051955106918061,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,83,-0.3810245462251722,0.0098623767117844,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,84,-1.522540514594988,0.0115646701893891,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,85,-0.1743221966138369,0.1668301195332243,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,86,-0.0304766120017992,0.0985448088628585,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,87,-0.0926358301954328,0.0011211024953838,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,88,-1.9354844653907348,0.0088642435011321,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,89,-0.1688710855675478,1.4695591454862175e-05,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,90,-0.2407468707405734,0.0051130075952785,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,91,-0.1941347515703912,0.011736341279647,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,92,-0.0405905933166877,0.2171412459286729,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,93,-1.0054569709578474,0.00872178935192,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,94,-0.5783397489277254,0.0087007881916796,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,95,-0.0781712479500072,0.0129619676408214,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,96,0.0034376349644162,0.8770225402438033,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,97,-0.0468763611378733,0.0009952164555034,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,98,-0.1054025720962351,0.0125624592482225,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,99,-0.4400907324424523,0.0108294134802675,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,100,-0.1139404172009766,0.0206584238106218,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,101,-0.5592181700269093,0.0111921873658921,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,102,0.0270772864381002,0.5783311024363913,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,103,-0.3042287609570687,0.0095810643942497,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,104,-0.0211073891146481,0.0881776772934087,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,105,-0.0425343285068266,0.0123163037842744,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,106,-0.0224497301393794,0.0714630982284564,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,107,-0.0195001362832102,0.1784972116988468,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,108,-0.1077415916488143,0.0161813944313877,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,109,-0.0061592038678117,0.7300611573953983,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,110,-0.8881884803573459,0.0078881576919326,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,111,-3.754869539702983,0.0106993104579872,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,112,-0.4986106963616648,0.0044293513145736,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,113,-0.0304514504331672,0.2088835507994159,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,114,0.0156747676385667,0.2347541439036178,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,115,-0.0527114923934165,0.0361752791342176,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,116,-0.0218992286494323,0.0226215844236908,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,117,-0.0773990408104463,0.0092298383436546,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,118,-0.1180261794707833,0.0047163683630317,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,119,-0.1709082706103998,0.0026852401005723,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,16,R,0,-2906.909791566692,0.0048813285321051,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,1,-1.0249855068358502,0.0009864638866274,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,2,-23.682219631039903,0.0044871374553126,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,3,-234.99407418505723,0.0043290055659168,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
sub-EN057,16,R,4,-7.5694680909026655,0.0008518709940136,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-16.csv
