subject,run,hemi,mode_k,beta,p,metric
sub-EN057,15,R,22,2.408268270487522,0.206851976850644,chord
sub-EN057,15,R,23,1.2730180791429222,0.1806901260324123,chord
sub-EN057,15,R,24,0.5738601579276548,0.2175145514652557,chord
sub-EN057,15,R,25,-0.0063835131417626,0.9369905431390564,chord
sub-EN057,15,R,26,0.063080821657038,0.4091572030241468,chord
sub-EN057,15,R,27,0.8922870571679984,0.2371761706695399,chord
sub-EN057,15,R,28,0.0737408006529004,0.6299943024742591,chord
sub-EN057,15,R,29,-0.0275374750283576,0.463427858133952,chord
sub-EN057,15,R,30,-0.1842077143355632,0.0566038282687245,chord
sub-EN057,15,R,31,0.0311471354631307,0.4361909092491527,chord
sub-EN057,15,R,32,0.91620962342013,0.2348568210719369,chord
sub-EN057,15,R,33,0.0513723890712748,0.2451641173171154,chord
sub-EN057,15,R,34,0.4092741461217847,0.1142324503104734,chord
sub-EN057,15,R,35,0.0965079316406038,0.1095414723276596,chord
sub-EN057,15,R,36,0.1843299413897451,0.2456530353739035,chord
sub-EN057,15,R,37,4.166252367202794,0.2114800960389675,chord
sub-EN057,15,R,38,1.1858901047688155,0.2161008459960439,chord
sub-EN057,15,R,39,2.429762207853184,0.2153528824764311,chord
sub-EN057,15,R,40,0.0467907863848452,0.4590399618928704,chord
sub-EN057,15,R,41,2.907799374860577,0.2203908161577648,chord
sub-EN057,15,R,42,0.2670191474623867,0.2831441782103217,chord
sub-EN057,15,R,43,0.2352440842209847,0.1625692258266619,chord
sub-EN057,15,R,44,0.0809597179128358,0.3805115308170841,chord
sub-EN057,15,R,45,0.8617168166552119,0.2138927668163643,chord
sub-EN057,15,R,46,0.057690523790112,0.0214887554278728,chord
sub-EN057,15,R,47,1.1058856249026985,0.2291425880927485,chord
sub-EN057,15,R,48,1.183244201745095,0.2295574984356695,chord
sub-EN057,15,R,49,1.9174181362091915,0.2153782589254173,chord
sub-EN057,15,R,50,0.3715139716728887,0.2096221137506014,chord
sub-EN057,15,R,51,0.1846685913337472,0.244993714191086,chord
sub-EN057,15,R,52,-0.0046914903899313,0.9162930428801156,chord
sub-EN057,15,R,53,0.0545107766706234,0.1827924730301955,chord
sub-EN057,15,R,54,0.3163156848933297,0.1077907585399967,chord
sub-EN057,15,R,55,-0.0160735072320007,0.4538492540211509,chord
sub-EN057,15,R,56,-0.0115491441869825,0.8560783491394686,chord
sub-EN057,15,R,57,-0.020736317601637,0.418254265259539,chord
sub-EN057,15,R,58,0.2140164757817609,0.3290078577719638,chord
sub-EN057,15,R,59,0.3399028106686959,0.1911935179008339,chord
sub-EN057,15,R,60,0.6308497262935141,0.2208406384722962,chord
sub-EN057,15,R,61,-0.0017016549473352,0.9106943016876998,chord
sub-EN057,15,R,62,0.90520018928152,0.211350421657348,chord
sub-EN057,15,R,63,0.8026912004364495,0.2167850182245163,chord
sub-EN057,15,R,64,0.4261339267797987,0.1447802482714312,chord
sub-EN057,15,R,65,-0.0251372334777669,0.361474340263442,chord
sub-EN057,15,R,66,0.4876483580142009,0.2252273315216037,chord
