subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,15,L,90,-0.3322321425397774,0.005799040830604,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,91,-0.1151823455480955,0.0271088190049574,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,92,-0.1430162767335146,0.0399933030061047,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,93,-0.9918493944049952,0.0100789595882409,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,94,-0.1012629711739881,0.0174340178417741,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,95,-0.0277078111715395,0.0315250702544977,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,96,-0.7140585640874938,0.0089489461001834,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,97,-0.7210685083709248,0.008107724590132,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,98,-0.4235263253906274,0.0068376280635123,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,99,-0.1579656633302434,0.0181345429254709,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,100,-0.109956354055825,0.0657705475835074,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,101,-1.515203484258226,0.0071260332428305,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,102,-0.4245386665026391,0.0122262024130256,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,103,-0.2913823269973266,0.000716194273035,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,104,-0.0572207451935649,0.0171237577231064,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,105,-0.7179721693403627,0.0108877268590672,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,106,-0.3103724790090911,0.0060564191522524,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,107,-0.0378236779044807,0.1798883855358387,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,108,-0.2729062003804847,0.0058700344699504,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,109,-0.057472391205597,0.0106677652927966,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,110,-0.0047736873121133,0.634182143685247,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,111,-1.1322455509184508,0.0111245455463924,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,112,-1.644314574212656,0.0107711536491844,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,113,-0.0865068434552626,0.023242043447779,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,114,0.0054979432361404,0.5802607772204312,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,115,-0.1157052230733234,0.00929370560944,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,116,-0.0210524234512107,0.1079624440798151,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,117,-0.1668402582847195,0.0362333209457208,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,118,-0.0414731476723956,0.001762642245208,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,119,-0.636001013132901,0.0120620354541223,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,16,L,0,-2930.291752292651,0.0050023105266809,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-16.csv
sub-EN057,16,L,1,-0.2680905193730386,0.1910688931079414,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-16.csv
sub-EN057,16,L,2,-61.32554925452996,0.0047925944415577,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-16.csv
sub-EN057,16,L,3,-178.45819468592236,0.004868633834746,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-16.csv
sub-EN057,16,L,4,-10.27514325395997,0.0011857441633608,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-16.csv
