mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
73,-0.05331872901047066,0.006779172842931153,49,-7.865078859298845,3.523360196158023e-10,0.0138666797429323,1
74,-0.16132311888917825,0.011898801528300612,49,-13.55793005753399,4.937177499679802e-18,0.0139644090086221,1
75,-1.5447662436173386,0.04499744288232806,49,-34.330089548800075,1.94389947164035e-35,0.0142714828252792,1
76,-0.2206175930546024,0.014786824050404466,49,-14.919876797246925,1.1841922741572423e-19,0.0145824085921049,1
77,-0.42308194722461695,0.025480481765353117,49,-16.60415808149669,1.5806589200829467e-21,0.0147327147424221,1
78,-0.45164752347603043,0.023424515667845768,49,-19.280975960412082,3.0351167175684003e-24,0.0147609356790781,1
79,-2.0982611153546404,0.0546951177841159,49,-38.36285943539919,1.1305334175318187e-37,0.0149750523269176,1
80,-0.25451280521453123,0.01493222983080916,49,-17.04452771610866,5.379345764723984e-22,0.0150899533182382,1
81,-0.19598481182113625,0.011644052616305491,49,-16.831323103666957,9.042063111262023e-22,0.0154220629483461,1
82,-0.3311030264530419,0.016582249537630846,49,-19.967316599696254,6.796044090114221e-25,0.0154968649148941,1
83,-0.21011290445702205,0.02084016160873829,49,-10.08211492798221,1.9366234457633119e-13,0.0157812219113111,1
84,-1.2806982468281445,0.03875876412925967,49,-33.042804010908156,1.1315538471290498e-34,0.0159307047724723,1
85,-0.367079518500618,0.020274242539425717,49,-18.105708155892263,4.3434207669731165e-23,0.0159959252923727,1
86,-0.03441214644121839,0.005230969736004873,49,-6.578540534149696,3.2586280588155665e-08,0.0163249354809522,1
87,-0.04898016177691196,0.006303617461584732,49,-7.7701672215049555,4.907667178281984e-10,0.0165493730455636,1
88,-1.4237791279625527,0.04146768907249072,49,-34.33466295827598,1.9319833520054692e-35,0.0166782364249229,1
89,-0.09818419046645241,0.00970478754751805,49,-10.117088085206206,1.7278416137085237e-13,0.0169897153973579,1
90,-0.1284965081402134,0.010042240244011612,49,-12.795601879454981,4.400606585389225e-17,0.0170869976282119,1
91,-0.34733723424126706,0.0194560324036341,49,-17.852418573089423,7.839687268784801e-23,0.0171879101544618,1
92,-0.09750256738932037,0.012861914343929403,49,-7.580719695535826,9.525353693994627e-10,0.0173780377954244,1
93,-0.7664544979224559,0.03307350990046489,49,-23.174271500941675,1.0329704233435162e-27,0.0176062751561403,1
94,-0.4036121351477111,0.023022670329614785,49,-17.531073909725063,1.6733913178956835e-22,0.017727717757225,1
95,-0.34699837833342045,0.02006033296597543,49,-17.297737725588533,2.920834860161042e-22,0.0180606748908758,1
96,-0.028137801018414177,0.00585103273224466,49,-4.8090315515325335,1.5399213313615255e-05,0.0183309633284807,1
