transition_idx,prev_token_id,token_id,run_id,snt_prev,snt_cur,onset,word_prev,word_cur,same_run,boundary_flag,shift,entropy_prev,entropy_cur,entropy_change,id_prev,id_cur,id_change,pred_error_lin,pred_error_ar,pred_error_subspace,curvature
81,11,12,1,5,5,30.296, jungle, and,1,0,0.7567353049397236,1.2000759302779844,1.2821256150150102,-0.08204968473702579,2.9734061855495573,3.251179260229862,-0.2777730746803049,0.9188447786978375,0.6460773100370922,1.0084429065841078,2.0804872767553455
82,12,13,1,5,5,30.548, and, in,1,0,0.43140639746924836,1.2821256150150102,1.2969071605610691,-0.014781545546058927,3.251179260229862,3.333438096334972,-0.08225883610510998,0.5128327458608231,0.4312680704930071,0.7921861211917568,1.8799856926656107
83,13,14,1,5,5,30.734, in, turn,1,0,0.40459412146582685,1.2969071605610691,1.3656148972607398,-0.06870773669967067,3.333438096334972,3.8347875868191528,-0.5013494904841806,0.6161184152147564,0.3558529265471201,0.7642907481705712,2.0605292584165698
84,14,15,1,5,5,31.394, turn, i,1,0,0.3811953579128351,1.3656148972607398,1.369488445848972,-0.0038735485882321896,3.8347875868191528,3.870001921767949,-0.03521433494879611,0.5707569164464201,0.31469999786423586,0.7156765167933871,2.0027525632414966
85,15,16,1,5,5,31.6, i, managed,1,0,0.40263720502078904,1.369488445848972,1.3517366198264846,0.01775182602248737,3.870001921767949,3.739023779960553,0.13097814180739586,0.6091918557863791,0.3476693981241825,0.7513188434816662,2.0447038566126365
86,16,17,1,5,5,32.13, managed, with,1,0,0.4496280211119993,1.3517366198264846,1.3338519972435638,0.017884622582920784,3.739023779960553,3.6392683929515326,0.09975538700902042,0.6226233475290642,0.384458272289561,0.7864612896568289,1.9860177232027376
87,17,18,1,5,5,32.231, with, a,1,0,0.29787606764007013,1.3338519972435638,1.2965155029102675,0.03733649433329633,3.6392683929515326,3.3791076700802565,0.2601607228712761,0.49456186979276395,0.245353027858631,0.626926852252038,2.002440138555219
88,18,19,1,5,5,32.286, a, colored,1,0,0.3971292014781348,1.2965155029102675,1.2754926917430227,0.021022811167244804,3.3791076700802565,3.2406616325713,0.13844603750895645,0.47881930902253034,0.4011865956426439,0.8301886063189637,1.7597490182926885
89,19,20,1,5,5,32.6, colored, pencil,1,0,0.33984816494132297,1.2754926917430227,1.295849203219597,-0.020356511476574246,3.2406616325713,3.341902364863689,-0.10124073229238917,0.5649468224924594,0.3117272560694768,0.7067156742551657,2.0786805940863498
90,20,21,1,5,5,33.399, pencil, to,1,0,0.5538297963430348,1.295849203219597,1.3054021156389393,-0.009552912419342308,3.341902364863689,3.4574930270654374,-0.11559066220174818,0.6646877962074306,0.45466993306947767,0.6798708262955654,1.8883987755079086
91,21,22,1,5,5,33.524, to, make,1,0,0.34890721727793295,1.3054021156389393,1.3336020646750648,-0.02819994903612555,3.4574930270654374,3.626753540501718,-0.16926051343628057,0.623834304877134,0.2546779451511313,0.6483604940582606,2.218435374826044
92,22,23,1,5,5,33.764, make,$ my,1,0,0.5803544407955821,1.3336020646750648,1.3429692219284577,-0.009367157253392877,3.626753540501718,3.690281681665021,-0.06352814116330308,0.7316019217108398,0.5330635726726538,0.9178429139299542,1.9740115073006343
93,23,24,1,5,5,34.034,$ my, first,1,0,0.5264310210345631,1.3429692219284577,1.1704133964879857,0.172555825440472,3.690281681665021,2.8251284810299877,0.8651532006350333,0.8099008000502631,0.347563119062792,0.7323806086074396,2.2652601543767874
