boundary_idx,run_id,prev_sentence_id,cur_sentence_id,boundary_onset,pre_window_size,post_window_size,pre_entropy,post_entropy,pre_id,post_id,entropy_post_minus_pre,id_post_minus_pre
2204,2,180,181,233.731,4,4,1.0762571101572291,0.9847534140938912,2.872532805343567,2.430935769004968,-0.09150369606333797,-0.44159703633859904
2224,2,181,182,240.397,4,4,1.0756425852215854,1.0156718026757432,2.8734383111828605,2.567458700646272,-0.059970782545842205,-0.3059796105365886
2246,2,182,183,248.491,4,4,1.044190528594239,1.082516520096526,2.7027626906227264,2.90641328551335,0.038325991502287104,0.20365059489062354
2266,2,183,184,255.531,4,4,1.0563198956325055,1.0430423137165388,2.756031376571206,2.710747993309895,-0.01327758191596673,-0.045283383261311094
2274,2,184,185,257.793,4,4,1.0852710129407006,1.077511669526517,2.921708065039301,2.8801355444968157,-0.007759343414183606,-0.04157252054248506
2279,2,185,186,260.195,4,4,1.057154600722264,1.0676563629601439,2.7651488969858287,2.8174260977649785,0.010501762237879797,0.05227720077914988
2293,2,186,187,265.076,4,4,1.0466022714698828,1.0525894002569238,2.7036801633182885,2.7346933873435804,0.005987128787040996,0.03101322402529183
2301,2,187,188,268.804,4,4,1.0831400251915286,1.026149728570366,2.9119149798219506,2.6013886206669445,-0.05699029662116262,-0.31052635915500604
2321,2,188,189,274.715,4,4,0.9751455295095826,1.0203114885882532,2.4284349237640352,2.5900985695530694,0.0451659590786706,0.16166364578903414
2344,2,189,190,282.634,4,4,0.9442548167566764,1.0229632200649765,2.2956891843092944,2.630982266166221,0.07870840330830009,0.33529308185692663
2354,2,190,191,286.262,4,4,1.0764871470322679,1.0651653593772372,2.871610058212735,2.8152233526752277,-0.011321787655030668,-0.05638670553750735
2358,2,191,192,288.074,4,4,1.0651653593772372,1.050260533220358,2.8152233526752277,2.738980361524515,-0.014904826156879158,-0.07624299115071276
2362,2,192,193,289.837,4,4,1.050260533220358,1.0283254176250276,2.738980361524515,2.65094034473078,-0.021935115595330457,-0.08804001679373474
2387,2,193,194,299.15,4,4,1.0473016226697585,1.0336104819550647,2.725443653910386,2.6565605785092865,-0.013691140714693795,-0.06888307540109961
2429,2,194,195,313.301,4,4,0.9189232127338178,0.9357437253914145,2.259007910227643,2.2889725212769165,0.016820512657596653,0.029964611049273504
2441,2,195,196,317.054,4,4,1.0609937304485315,1.0472635481587185,2.7810354157399337,2.721475875079884,-0.013730182289813042,-0.05955954066004976
2453,2,196,197,320.406,4,4,1.00105017039715,1.077776523613848,2.4885422079537167,2.8797076192915494,0.07672635321669796,0.39116541133783267
2467,2,197,198,326.636,4,4,1.029938516993104,1.0821046190950658,2.645943804279435,2.905291963731706,0.05216610210196193,0.2593481594522711
2482,2,198,199,331.506,4,4,1.0484304211637112,1.046681360568524,2.7289748560561464,2.712024204764225,-0.0017490605951873128,-0.016950651291921304
2510,2,199,200,341.614,4,4,1.0780603432953595,0.9991189524156177,2.884970057293352,2.483010846320051,-0.07894139087974184,-0.4019592109733008
2545,2,200,201,355.413,4,4,1.04757458782777,1.058549599327345,2.7259975414534847,2.7908554665915895,0.010975011499575027,0.06485792513810473
2549,2,201,202,357.281,4,4,1.058549599327345,0.9935085706306623,2.7908554665915895,2.4494349561963373,-0.06504102869668271,-0.3414205103952521
