subject,run,hemi,mode_k,model,beta_boundary,p_boundary,beta_wordrate,p_wordrate,beta_content_density,p_content_density,beta,p,metric,control_model
sub-EN106,10,L,72,boundary_plus_wordrate_content,-0.1288386449754951,0.1531628723781652,0.0603837375349655,0.4910580308209242,-0.1857261691051544,0.0398263746321274,-0.1288386449754951,0.1531628723781652,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,73,boundary_plus_wordrate_content,0.0058134513418559,0.9263338602560324,0.0470507150676592,0.4424235586699658,0.0211292599324522,0.736772755085928,0.0058134513418559,0.9263338602560324,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,74,boundary_plus_wordrate_content,-0.5030897066374995,0.2425300220877835,0.0905749446411937,0.8286973453038744,-0.5452600997783487,0.2052241736157792,-0.5030897066374995,0.2425300220877835,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,75,boundary_plus_wordrate_content,0.1963494334698391,0.0874129629975774,-0.1501623812897941,0.178965525446195,0.5641838117543189,1.4592133329772232e-06,0.1963494334698391,0.0874129629975774,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,76,boundary_plus_wordrate_content,-0.2007832662706726,0.3287634738108416,0.1082589456143331,0.5884009136664805,0.0407690137316178,0.8426177461960376,-0.2007832662706726,0.3287634738108416,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,77,boundary_plus_wordrate_content,-0.1985677313684089,0.2214321297223348,0.0970182690564075,0.5390623169822807,-0.2930021805044032,0.0715742770891104,-0.1985677313684089,0.2214321297223348,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,78,boundary_plus_wordrate_content,-1.2531273331065274,0.1278069198942394,0.481290251708708,0.5472939441685722,-2.0763487572321475,0.0119264341504196,-1.2531273331065274,0.1278069198942394,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,79,boundary_plus_wordrate_content,0.0927306488714926,0.1338507883221214,-0.1565298852433691,0.009661691605063,0.3474263368720427,4.532419118177769e-08,0.0927306488714926,0.1338507883221214,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,80,boundary_plus_wordrate_content,0.0313898340039892,0.6708201972216573,-0.0001204310158169,0.9986635134914384,0.0588028529836502,0.4259545143486685,0.0313898340039892,0.6708201972216573,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,81,boundary_plus_wordrate_content,-0.0945945866983585,0.1756276829072828,0.0582442205331574,0.3912451949380089,-0.0020124440875173,0.976964893138874,-0.0945945866983585,0.1756276829072828,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,82,boundary_plus_wordrate_content,0.0937689682678144,0.0928402284116367,-0.031926970445585,0.5557912631920848,0.2040794931572992,0.0002917202157954,0.0937689682678144,0.0928402284116367,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,83,boundary_plus_wordrate_content,-0.0978036661678694,0.372761628001556,0.0732828328000522,0.4926370139056969,-0.0598758171363146,0.5849823033472679,-0.0978036661678694,0.372761628001556,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,84,boundary_plus_wordrate_content,-0.6055426058094162,0.1700249516690887,0.1910258775573758,0.6561153434456044,-0.944855665908888,0.0326635165500143,-0.6055426058094162,0.1700249516690887,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,85,boundary_plus_wordrate_content,-0.0006176303918847,0.99190805467027,-0.0453207208315203,0.4449326431089585,0.141231449245077,0.0209986648079094,-0.0006176303918847,0.99190805467027,boundary,boundary_plus_wordrate_content
sub-EN106,10,L,86,boundary_plus_wordrate_content,-0.2824080709316526,0.1726586085982591,0.1475043753830343,0.4638778906164468,-0.421662477724051,0.0421130169118261,-0.2824080709316526,0.1726586085982591,boundary,boundary_plus_wordrate_content
