metric,control_model,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
boundary,boundary_plus_wordrate_content,R,55,-0.013254328030442644,0.008775525750751908,49,-1.5103742393220123,0.1375035187849933,0.0102680269628763,0
boundary,boundary_plus_wordrate_content,R,56,-0.20056051935520658,0.010943439733872287,49,-18.327009078729503,2.6058446766445732e-23,0.0104580484330654,1
boundary,boundary_plus_wordrate_content,R,57,-0.05134524122780556,0.007130088391614718,49,-7.201206830505735,3.6165674745667613e-09,0.0108443927019834,1
boundary,boundary_plus_wordrate_content,R,58,-0.25032429382632615,0.01658008326146793,49,-15.09789123967062,7.391656817598919e-20,0.0109784808009862,1
boundary,boundary_plus_wordrate_content,R,59,-0.4939557514960076,0.023463133134174925,49,-21.052420777365946,6.917452056001145e-26,0.0112018398940563,1
boundary,boundary_plus_wordrate_content,R,60,-1.2732363690647732,0.04218513688176319,49,-30.18210827745823,7.183453732185945e-33,0.0112499464303255,1
boundary,boundary_plus_wordrate_content,R,61,-0.029578930544715998,0.005270188328807297,49,-5.612499724731856,9.742224975645232e-07,0.0114265698939561,1
boundary,boundary_plus_wordrate_content,R,62,-1.2462320838807612,0.03702345848036868,49,-33.66060695117296,4.821370552764086e-35,0.0116981286555528,1
boundary,boundary_plus_wordrate_content,R,63,-1.424305190017276,0.03804948025886997,49,-37.43297359982327,3.536605098761653e-37,0.0118494983762502,1
boundary,boundary_plus_wordrate_content,R,64,-0.2739090160034089,0.017166161029687238,49,-15.95633499707415,8.011528990304758e-21,0.0121008921414613,1
