subject,run,hemi,K,r2
sub-EN059,12,R,100,0.9953166594345136
sub-EN059,12,R,120,1.0
sub-EN059,13,L,1,0.8253392678309217
sub-EN059,13,L,2,0.8301403973726783
sub-EN059,13,L,3,0.8497252865538282
sub-EN059,13,L,5,0.8991838007071908
sub-EN059,13,L,10,0.9215319907228131
sub-EN059,13,L,20,0.95040344862765
sub-EN059,13,L,40,0.9670682601344276
sub-EN059,13,L,60,0.9802163345930159
sub-EN059,13,L,80,0.9900333692772684
sub-EN059,13,L,100,0.9952089628044981
sub-EN059,13,L,120,1.0
sub-EN059,13,R,1,0.822336055538741
sub-EN059,13,R,2,0.8241348322017507
sub-EN059,13,R,3,0.83171330739338
sub-EN059,13,R,5,0.897741914692366
sub-EN059,13,R,10,0.9200008381049684
sub-EN059,13,R,20,0.9514466715877907
sub-EN059,13,R,40,0.9676144173037095
sub-EN059,13,R,60,0.9790287495621073
sub-EN059,13,R,80,0.9896220649882186
sub-EN059,13,R,100,0.994901021378074
sub-EN059,13,R,120,1.0
sub-EN059,14,L,1,0.8093943354052524
sub-EN059,14,L,2,0.8140145027018656
sub-EN059,14,L,3,0.831362755676752
sub-EN059,14,L,5,0.8795565708441647
sub-EN059,14,L,10,0.9067759562556585
sub-EN059,14,L,20,0.942698683833419
sub-EN059,14,L,40,0.9619430945325302
sub-EN059,14,L,60,0.9772755031294376
sub-EN059,14,L,80,0.9886499176654533
sub-EN059,14,L,100,0.9943656938251266
sub-EN059,14,L,120,1.0
sub-EN059,14,R,1,0.7957376220756535
sub-EN059,14,R,2,0.8014897464215744
sub-EN059,14,R,3,0.8101240597359731
sub-EN059,14,R,5,0.8758964414687094
sub-EN059,14,R,10,0.8987388695881209
sub-EN059,14,R,20,0.9357579404479361
sub-EN059,14,R,40,0.9589767701749017
sub-EN059,14,R,60,0.9727803710704841
sub-EN059,14,R,80,0.9852530820961131
sub-EN059,14,R,100,0.9929038307377401
sub-EN059,14,R,120,1.0
sub-EN059,15,L,1,0.8809292441262551
sub-EN059,15,L,2,0.8818781148661072
sub-EN059,15,L,3,0.8950732124342081
sub-EN059,15,L,5,0.9398707467950471
sub-EN059,15,L,10,0.9551232503671272
sub-EN059,15,L,20,0.9746950455649804
sub-EN059,15,L,40,0.9826539273778907
sub-EN059,15,L,60,0.9907486593423991
sub-EN059,15,L,80,0.9960310841103452
sub-EN059,15,L,100,0.9979472552283175
sub-EN059,15,L,120,1.0
sub-EN059,15,R,1,0.8676010246710184
sub-EN059,15,R,2,0.8677107326022189
sub-EN059,15,R,3,0.872287335598567
sub-EN059,15,R,5,0.9318365468758079
sub-EN059,15,R,10,0.9514803485330069
sub-EN059,15,R,20,0.9743957560877126
sub-EN059,15,R,40,0.9840777865742105
sub-EN059,15,R,60,0.9902542133321874
