subject,K,energy_subject
sub-EN105,10,0.9167723289422772
sub-EN105,20,0.9470219421053646
sub-EN105,40,0.9654060487530326
sub-EN105,60,0.978389456563848
sub-EN105,80,0.9884883619225538
sub-EN105,100,0.9946602399270288
sub-EN105,120,1.0
sub-EN106,1,0.7402141374724425
sub-EN106,2,0.7505561814264161
sub-EN106,3,0.7703103098242592
sub-EN106,5,0.8402512810482184
sub-EN106,10,0.8759506771000206
sub-EN106,20,0.9160740813552708
sub-EN106,40,0.9449716967746489
sub-EN106,60,0.9653285189095011
sub-EN106,80,0.9806690415568031
sub-EN106,100,0.9913142976401432
sub-EN106,120,1.0
sub-EN108,1,0.7918545720599343
sub-EN108,2,0.7974232848247831
sub-EN108,3,0.8142679944669831
sub-EN108,5,0.8792204759182508
sub-EN108,10,0.9030663981223136
sub-EN108,20,0.9363771560339682
sub-EN108,40,0.9581018341570614
sub-EN108,60,0.9731275344755512
sub-EN108,80,0.9850459254481585
sub-EN108,100,0.9927437701460106
sub-EN108,120,1.0
sub-EN109,1,0.8062468946924582
sub-EN109,2,0.8100592723728807
sub-EN109,3,0.8251350174530443
sub-EN109,5,0.881666224532878
sub-EN109,10,0.9055178576450564
sub-EN109,20,0.938524031100961
sub-EN109,40,0.9601631933239813
sub-EN109,60,0.9754173774416566
sub-EN109,80,0.9865136175393885
sub-EN109,100,0.9935091653780587
sub-EN109,120,1.0
sub-EN110,1,0.8045913781758625
sub-EN110,2,0.8100150088972158
sub-EN110,3,0.8239282009226695
sub-EN110,5,0.8786684155351886
sub-EN110,10,0.9032137347269364
sub-EN110,20,0.93652244284027
sub-EN110,40,0.9583543837959793
sub-EN110,60,0.9732275923990188
sub-EN110,80,0.9858526218438889
sub-EN110,100,0.993253006951329
sub-EN110,120,1.0
sub-EN113,1,0.8235052916541526
sub-EN113,2,0.8263620857084473
sub-EN113,3,0.838943511586295
sub-EN113,5,0.8928043587240698
sub-EN113,10,0.9142486338670702
sub-EN113,20,0.9439143655475759
sub-EN113,40,0.9633242111363427
sub-EN113,60,0.9774501821135263
sub-EN113,80,0.9879519737384995
sub-EN113,100,0.9943125507651271
sub-EN113,120,1.0
sub-EN114,1,0.8039658528555355
sub-EN114,2,0.8122098409997746
sub-EN114,3,0.828871609214563
sub-EN114,5,0.8897521711188747
sub-EN114,10,0.9139709901586406
sub-EN114,20,0.9450870304787531
sub-EN114,40,0.9649132305226513
sub-EN114,60,0.9779143722411082
sub-EN114,80,0.988522095855453
sub-EN114,100,0.9944749589416253
sub-EN114,120,1.0
sub-EN115,1,0.8134652590961766
sub-EN115,2,0.8180089705544966
sub-EN115,3,0.830631343636187
sub-EN115,5,0.8926159936669686
sub-EN115,10,0.9157723476641446
sub-EN115,20,0.947499511747968
sub-EN115,40,0.966077678990389
sub-EN115,60,0.9790329869076468
sub-EN115,80,0.9888825945933113
sub-EN115,100,0.9945002811107467
sub-EN115,120,1.0
