subject,run,hemi,mode_k,beta,p
sub-EN057,15,R,61,-0.0483107197372166,0.0013119044553248
sub-EN057,15,R,62,-1.5572692855864083,0.031078947577182
sub-EN057,15,R,63,-1.3368974860100336,0.0392015772466291
sub-EN057,15,R,64,-0.7167164896944069,0.0138518712123769
sub-EN057,15,R,65,-0.1238141085062877,4.769018696813062e-06
sub-EN057,15,R,66,-0.9093488543741304,0.0232795959518477
sub-EN057,15,R,67,-1.25512124920856,0.0347837263086254
sub-EN057,15,R,68,-1.0486567869692425,0.0258262233307842
sub-EN057,15,R,69,-0.0497363942650315,0.0072715340376401
sub-EN057,15,R,70,-1.687399989562788,0.0247672341094754
