metric,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
boundary,R,14,-6.781986431329465,0.12991553866801547,49,-52.20304284509082,6.040827169325157e-44,0.0027416236698627,1
boundary,R,15,-1.5960989531970617,0.05115461439381134,49,-31.201465832770644,1.5733631186472418e-33,0.0029593342915177,1
boundary,R,16,-2.0299181379803812,0.06026214058467446,49,-33.68479974799666,4.6643308931705635e-35,0.0029743034392595,1
boundary,R,17,-6.431478297501024,0.18211034721861705,49,-35.31638040193434,5.251141111967697e-36,0.0030919155105948,1
boundary,R,18,-0.2463839028752171,0.021091414564412308,49,-11.681715426092966,1.2288431290733492e-15,0.0034280661493539,1
boundary,R,19,-0.5579375545605892,0.051858599719349134,49,-10.758824140645189,2.1884945636139435e-14,0.0035447385162115,1
boundary,R,20,-1.1052871304038208,0.03649114395024413,49,-30.28918830034174,6.1110486563788044e-33,0.0037717577069997,1
boundary,R,21,-1.2277489897288663,0.040224293974988855,49,-30.5225740069489,4.303747376158254e-33,0.0040091443806886,1
boundary,R,22,-1.9931797569919099,0.038074063862805665,49,-52.35006602326566,5.290055356549349e-44,0.0041310228407382,1
boundary,R,23,-0.6775823821361868,0.03344935250494162,49,-20.256965573132838,3.6580238764300954e-25,0.0044047320261597,1
boundary,R,24,-0.21083148085011863,0.018368616452776397,49,-11.4778095232236,2.2999542875481705e-15,0.0045519033446908,1
boundary,R,25,-0.018952032192848026,0.007729653871742659,49,-2.45186039469776,0.017901076970997788,0.0046605272218585,1
boundary,R,26,-0.08955577297768395,0.010911588466445053,49,-8.207400164795697,1.0720784195570708e-10,0.0048440368846058,1
boundary,R,27,-1.0129702168340546,0.034965205323657204,49,-28.97080704824823,4.641377868643218e-32,0.0049720155075192,1
boundary,R,28,-0.38047597093549496,0.027940175043627807,49,-13.617522808693659,4.173913271210933e-18,0.0052369954064488,1
boundary,R,29,-0.0702531786952912,0.010608219022746817,49,-6.622523398569531,2.7895986232342662e-08,0.0054828114807605,1
boundary,R,30,-0.05219548253061169,0.01174814991829822,49,-4.4428682723324044,5.2163982614284246e-05,0.0056525152176618,1
boundary,R,31,-0.09010096739420781,0.00919527470561644,49,-9.798616167407646,4.909169922923499e-13,0.0058893002569675,1
boundary,R,32,-1.0292077154882697,0.037196326771150694,49,-27.66960624419825,3.7286803622322984e-31,0.0060744471848011,1
boundary,R,33,-0.16336035558393527,0.014796666440531778,49,-11.04034859746857,8.986791358437805e-15,0.006196467205882,1
boundary,R,34,-0.2684469438382986,0.01770613107138862,49,-15.161242326511557,6.255826630235599e-20,0.0063056014478206,1
boundary,R,35,-0.19170833079818098,0.01599385961151416,49,-11.986370735689587,4.865372735046335e-16,0.0066964793950319,1
boundary,R,36,-0.2595331389989946,0.013982251293082676,49,-18.5616131164365,1.5237961571915608e-23,0.0067823454737663,1
boundary,R,37,-3.4211721889395994,0.05432809193442654,49,-62.97243409669016,8.447441573095109e-48,0.006928913295269,1
boundary,R,38,-1.134593763070054,0.034362017909954606,49,-33.018833935866276,1.1699794926375614e-34,0.0072302352637052,1
boundary,R,39,-1.7751055942129235,0.046390289978247345,49,-38.264593626064425,1.2737665369775878e-37,0.0074026435613632,1
boundary,R,40,-0.054094366150203965,0.00740685842092727,49,-7.303280699596773,2.524544561848149e-09,0.0074999053031206,1
boundary,R,41,-2.3297933469366012,0.05814636062550625,49,-40.0677415039218,1.491983936054129e-38,0.0076058097183704,1
boundary,R,42,-0.14311114172111605,0.012457690917688143,49,-11.487774312807733,2.230291335469854e-15,0.0078272670507431,1
boundary,R,43,-0.2218430265777334,0.012914081545314277,49,-17.178382047481072,3.8919843678784304e-22,0.0081295762211084,1
boundary,R,44,-0.04715496485128501,0.00628986509106084,49,-7.496975558077022,1.277845097227638e-09,0.008332522585988,1
boundary,R,45,-0.8289435088879392,0.023748684766052623,49,-34.90481755321736,9.028946815986016e-36,0.0084747318178415,1
boundary,R,46,-0.03279928848591922,0.006174560695439777,49,-5.312003574625663,2.7643280815090516e-06,0.0086999479681253,1
boundary,R,47,-0.8331828801395423,0.03121305056643531,49,-26.693413973304438,1.8858784847731093e-30,0.0089640468358993,1
boundary,R,48,-1.0617073013222036,0.03767915733761707,49,-28.177575517652187,1.6363634555955245e-31,0.0091615673154592,1
boundary,R,49,-1.5794343942246885,0.0324642121599704,49,-48.651554716371365,1.6716017103323366e-42,0.0093336086720228,1
boundary,R,50,-0.28039272054473263,0.011570955946038764,49,-24.232459431385458,1.4293936501950548e-28,0.0094550773501396,1
boundary,R,51,-0.18053183866231026,0.011064676879414589,49,-16.316051578350464,3.2351498129760945e-21,0.0096245910972356,1
boundary,R,52,-0.03721018846686933,0.006920172593688851,49,-5.377060754352393,2.2075775785291436e-06,0.0098703932017087,1
boundary,R,53,-0.04304923915721626,0.008045917545668238,49,-5.350444981926657,2.4204917703760847e-06,0.0100258029997348,1
boundary,R,54,-0.15323426142916713,0.010911130160179415,49,-14.043848728741358,1.2714661191673059e-18,0.0101064685732126,1
boundary,R,55,-0.008362826737474854,0.00721022679161619,49,-1.1598562679330515,0.2518442258715943,0.0102680269628763,0
boundary,R,56,-0.14122775748267793,0.007948226985664279,49,-17.768460530556265,9.547913054812999e-23,0.0104580484330654,1
boundary,R,57,-0.03525769830067186,0.005411903580830969,49,-6.514842286835092,4.081048881473489e-08,0.0108443927019834,1
