subject,run,hemi,mode_k,beta,p
sub-EN057,15,L,104,-0.0032751485066756,0.8944030686917532
sub-EN057,15,L,105,-0.3087527884814612,0.2877092228723088
sub-EN057,15,L,106,-0.1153696205541777,0.3223549498304073
sub-EN057,15,L,107,-0.0500670166006744,0.0823885510126515
sub-EN057,15,L,108,-0.0913434841211222,0.3711723159197363
sub-EN057,15,L,109,-0.0135552239161136,0.5576699882749007
sub-EN057,15,L,110,0.0096086859072899,0.3483603339328351
sub-EN057,15,L,111,-0.4561878286643451,0.3206950922998198
sub-EN057,15,L,112,-0.6570474877072405,0.322586524895741
sub-EN057,15,L,113,-0.0214385314665137,0.5846309481615493
sub-EN057,15,L,114,0.0110514192087427,0.2753085284769199
sub-EN057,15,L,115,-0.048018872393579,0.2945401076289479
sub-EN057,15,L,116,-0.0089541148059669,0.5001809158885577
sub-EN057,15,L,117,-0.0701816088415124,0.3915010434051702
sub-EN057,15,L,118,-0.0190477369752895,0.1585302124101478
sub-EN057,15,L,119,-0.2546639955138711,0.3290861805616913
sub-EN057,15,R,0,-1131.4218168519071,0.328843922465289
sub-EN057,15,R,1,-0.2930538180517704,0.1863762690917426
sub-EN057,15,R,2,-10.49150475912928,0.3224658434446062
sub-EN057,15,R,3,-82.65614422061142,0.3284331886915623
sub-EN057,15,R,4,-5.062832684173351,0.3030600633264304
sub-EN057,15,R,5,-0.089830726290959,0.1249262370880957
sub-EN057,15,R,6,-12.631078753590474,0.3154302061774104
sub-EN057,15,R,7,-0.8601227597257111,0.0179855520958834
sub-EN057,15,R,8,-12.127343416802464,0.3232811792053677
sub-EN057,15,R,9,-0.0267120407841253,0.8307450297531579
sub-EN057,15,R,10,-2.413089645884891,0.2829367382435229
sub-EN057,15,R,11,-9.740237516120558,0.3228232602697676
sub-EN057,15,R,12,-3.2440791783069747,0.3131968288195485
sub-EN057,15,R,13,-1.7823556869459969,0.3487338694805301
sub-EN057,15,R,14,-4.752948005923621,0.323150127292564
sub-EN057,15,R,15,-1.5755862506936649,0.3252760227725562
sub-EN057,15,R,16,-1.3737567866534546,0.3014872604247864
sub-EN057,15,R,17,-6.048251564685636,0.3201644359273708
sub-EN057,15,R,18,-0.2847781653338768,0.1183164933033408
sub-EN057,15,R,19,-0.5984809783274201,0.1095618339331983
sub-EN057,15,R,20,-0.9314900488608788,0.3485229108180504
sub-EN057,15,R,21,-0.96286396558449,0.2892555749623788
sub-EN057,15,R,22,-1.925917747509112,0.3250441991141872
sub-EN057,15,R,23,-0.9921829558027174,0.3091236257569963
sub-EN057,15,R,24,-0.5975643281195473,0.2099784118790327
sub-EN057,15,R,25,-0.101443597698013,0.2152056357729077
sub-EN057,15,R,26,-0.1221840227237383,0.1181191860823626
sub-EN057,15,R,27,-0.8176286392319719,0.290778227473383
sub-EN057,15,R,28,-0.172024574358521,0.2722355741318948
sub-EN057,15,R,29,-0.0726917021803062,0.0439239879632428
sub-EN057,15,R,30,-0.0762728510468008,0.4396127934384085
